year,month,day,hour,power
2012,1,14,1,570953.0
2012,1,14,2,475775.0
2012,1,14,3,447901.0
2012,1,14,4,414661.0
2012,1,14,5,395303.0
2012,1,14,6,421521.0
2012,1,14,7,486898.0
2012,1,14,8,577382.0
2012,1,14,9,622624.0
2012,1,14,10,766573.0
2012,1,14,11,868309.0
2012,1,14,12,889439.0
2012,1,14,13,937993.0
2012,1,14,14,936847.0
2012,1,14,15,920431.0
2012,1,14,16,939949.0
2012,1,14,17,955890.0
2012,1,14,18,973837.0
2012,1,14,19,1044555.0
2012,1,14,20,1040355.0
2012,1,14,21,19663.0
2012,1,14,22,978831.0
2012,1,14,23,886583.0
2012,1,15,00,754428.0
2012,1,15,1,580792.0
2012,1,15,2,483167.0
2012,1,15,3,459564.0
2012,1,15,4,436452.0
2012,1,15,5,399072.0
2012,1,15,6,414827.0
2012,1,15,7,476260.0
2012,1,15,8,576203.0
2012,1,15,9,599314.0
2012,1,15,10,760310.0
2012,1,15,11,861140.0
2012,1,15,12,881976.0
2012,1,15,13,922026.0
2012,1,15,14,926395.0
2012,1,15,15,905181.0
2012,1,15,16,907649.0
2012,1,15,17,925959.0
2012,1,15,18,953073.0
2012,1,15,19,16936.0
2012,1,15,20,11222.0
2012,1,15,21,961755.0
2012,1,15,22,936662.0
2012,1,15,23,842902.0
2012,1,16,00,666075.0
2012,1,16,1,536497.0
2012,1,16,2,452988.0
2012,1,16,3,434613.0
2012,1,16,4,422241.0
2012,1,16,5,410120.0
2012,1,16,6,440792.0
2012,1,16,7,490784.0
2012,1,16,8,592366.0
2012,1,16,9,633140.0
2012,1,16,10,753866.0
2012,1,16,11,845261.0
2012,1,16,12,867911.0
2012,1,16,13,876594.0
2012,1,16,14,903703.0
2012,1,16,15,909867.0
2012,1,16,16,908988.0
2012,1,16,17,925699.0
2012,1,16,18,944757.0
2012,1,16,19,1023080.0
2012,1,16,20,1016552.0
2012,1,16,21,990606.0
2012,1,16,22,952149.0
2012,1,16,23,853792.0
2012,1,17,00,713044.0
2012,1,17,1,558664.0
2012,1,17,2,477828.0
2012,1,17,3,452143.0
2012,1,17,4,428930.0
2012,1,17,5,407879.0
2012,1,17,6,437082.0
2012,1,17,7,490380.0
2012,1,17,8,591859.0
2012,1,17,9,627757.0
2012,1,17,10,751805.0
2012,1,17,11,847870.0
2012,1,17,12,867165.0
2012,1,17,13,896055.0
2012,1,17,14,908923.0
2012,1,17,15,905402.0
2012,1,17,16,919504.0
2012,1,17,17,921747.0
2012,1,17,18,939748.0
2012,1,17,19,1029953.0
2012,1,17,20,1018321.0
2012,1,17,21,983646.0
2012,1,17,22,949429.0
2012,1,17,23,878081.0
2012,1,18,00,706894.0
2012,1,18,1,549028.0
2012,1,18,2,463237.0
2012,1,18,3,434601.0
2012,1,18,4,412844.0
2012,1,18,5,398475.0
2012,1,18,6,412409.0
2012,1,18,7,486933.0
2012,1,18,8,587318.0
2012,1,18,9,634895.0
2012,1,18,10,762116.0
2012,1,18,11,846926.0
2012,1,18,12,868841.0
2012,1,18,13,887372.0
2012,1,18,14,915218.0
2012,1,18,15,898856.0
2012,1,18,16,919321.0
2012,1,18,17,924779.0
